"run_date","target_quarter","status","model_only","blend","labour_read","expenditure_read","w_labour","days_to_release","band","months_hours_observed","c_hfce","c_dwell","c_otc","c_businv","c_pubcons","c_pubinv","c_exports","c_imports","c_inventories","c_discrepancy","bias_correction"
"2026-06-10","2026Q2","current","FALSE","0.9509","1.0956","0.5868","0.7156","84","1.3782","1","0.1548","0.0381","-0.0115","0.1726","0.1853","0.0516","0.5058","-0.3838","-0.0649","-0.0509","-0.0103"
"2026-06-11","2026Q2","current","FALSE","0.8724","1.0956","0.5868","0.5613","83","1.1039","1","0.1548","0.0381","-0.0115","0.1726","0.1853","0.0516","0.5058","-0.3838","-0.0649","-0.0509","-0.0103"
"2026-06-24","2026Q2","current","FALSE","0.9039","1.0956","0.5868","0.6233","70","1.0189","1","0.1548","0.0381","-0.0115","0.1726","0.1853","0.0516","0.5058","-0.3838","-0.0649","-0.0509","-0.0103"
"2026-06-25","2026Q2","current","FALSE","0.609","0.4787","0.829","0.628","69","1.0123","2","0.3969","0.0381","-0.0115","0.1726","0.1853","0.0516","0.5058","-0.3838","-0.0649","-0.0509","-0.0103"
"2026-06-30","2026Q2","current","FALSE","0.6006","0.4787","0.829","0.6519","64","0.9796","2","0.3969","0.0381","-0.0115","0.1726","0.1853","0.0516","0.5058","-0.3838","-0.0649","-0.0509","-0.0103"
"2026-07-01","2026Q2","completed-unreleased","FALSE","0.5925","0.4787","0.8102","0.6567","63","0.9731","2","0.3969","0.0194","-0.0115","0.1726","0.1853","0.0516","0.5058","-0.3838","-0.0649","-0.0509","-0.0103"
"2026-07-01","2026Q3","current","TRUE","0.8814","0.1817","1.297","0.3727","154","1.0667","0","0.8817","0.0316","0.005","0.147","0.217","0.0511","0.2884","-0.3583","0.0286","0.0151","-0.0103"
"2026-07-02","2026Q2","completed-unreleased","FALSE","0.5909","0.4787","0.8102","0.6614","62","0.9665","2","0.3969","0.0194","-0.0115","0.1726","0.1853","0.0516","0.5058","-0.3838","-0.0649","-0.0509","-0.0103"
"2026-07-02","2026Q3","current","TRUE","0.8814","0.1817","1.297","0.3727","153","1.0667","0","0.8817","0.0316","0.005","0.147","0.217","0.0511","0.2884","-0.3583","0.0286","0.0151","-0.0103"
"2026-07-23","2026Q2","completed-unreleased","FALSE","0.4967","0.345","0.8102","0.6738","41","0.8542","3","0.3969","0.0194","-0.0115","0.1726","0.1853","0.0516","0.5058","-0.3838","-0.0649","-0.0509","-0.0103"
"2026-07-23","2026Q3","current","TRUE","0.8448","0.1075","1.297","0.3802","132","1.0313","0","0.8817","0.0316","0.005","0.147","0.217","0.0511","0.2884","-0.3583","0.0286","0.0151","-0.0103"
