"run_date","status","note"
"2026-06-10","ok","releases: natacc,mhsi,trade,approvals,construction,capex,busind,bop,cpi,cpi_old,vacancies; stale: "
"2026-06-11","no-news","no new data detected; state unchanged"
"2026-06-12","no-news","no new data detected; state unchanged"
"2026-06-15","no-news","no new data detected; state unchanged"
"2026-06-16","no-news","no new data detected; state unchanged"
"2026-06-17","no-news","no new data detected; state unchanged"
"2026-06-18","no-news","no new data detected; state unchanged"
"2026-06-19","no-news","no new data detected; state unchanged"
"2026-06-22","no-news","no new data detected; state unchanged"
"2026-06-23","no-news","no new data detected; state unchanged"
"2026-06-24","ok","releases: cpi; stale: "
